Id	Label	Color
308	Ave Maria	2
309	Miles	8
310	Chowan	8
311	Dartmouth	11
312	Wisconsin-Oshkosh	10
313	Mississippi College	0
314	Virginia-Wise	2
315	Arkansas Tech	0
316	West Liberty State	4
317	Alderson Broaddus	4
318	Limestone College	7
319	Kentucky Wesleyan	6
320	Wesley	2
